price,reviews_per_month,accommodates,bathrooms,bedrooms,beds,property_type,room_type,neighbourhood,minimum_nights
49,1.86,2,1,0,1,House,Private room,Mattapan,1
139,0.7,8,2,3,4,House,Private room,Mattapan,2
72,1.24,4,1,1,3,House,Private room,Mattapan,2
175,0.11,2,1,1,1,Apartment,Entire home/apt,Fenway,91
95,0.38,1,1,1,1,Apartment,Private room,Jamaica Plain,91
175,2.67,3,1,0,1,Apartment,Entire home/apt,Downtown,10
65,0.2,2,1,1,1,Apartment,Private room,Dorchester,5
91,0.48,6,1,2,2,Other,Entire home/apt,Hyde Park,91
130,0.27,2,2,1,2,House,Private room,Allston,1
65,0.13,1,1,1,1,Apartment,Private room,Dorchester,30
125,1.69,3,1,1,1,Apartment,Entire home/apt,Roslindale,3
120,2.87,4,1,1,1,Other,Entire home/apt,Dorchester,91
175,3.55,2,1,1,1,Apartment,Entire home/apt,Back Bay,28
298,0.41,5,2,2,3,Other,Entire home/apt,Fenway,29
95,4.49,2,1,1,1,Other,Private room,Roxbury,2
70,1.33,2,2.5,1,1,House,Private room,Dorchester,91
275,1.57,2,1,1,1,Apartment,Entire home/apt,Beacon Hill,3
80,6,4,1,0,2,Other,Entire home/apt,Roxbury,2
260,0.69,8,1,3,3,House,Entire home/apt,Brighton,3
248,0.39,4,1,1,2,Apartment,Entire home/apt,Back Bay,91
98,0.1,1,1,1,1,Apartment,Private room,Jamaica Plain,31
288,3.61,3,1,1,1,Apartment,Entire home/apt,Beacon Hill,91
119,0.06,4,1,1,2,Apartment,Entire home/apt,West Roxbury,91
42,1.49,2,1,1,0,House,Private room,Dorchester,3
154,0.46,6,1,3,3,Apartment,Entire home/apt,Dorchester,30
50,0.34,1,2.5,1,1,House,Private room,Roslindale,2
325,0.24,5,3,4,4,House,Entire home/apt,Jamaica Plain,91
169,3.78,4,1,1,2,Apartment,Entire home/apt,Roxbury,91
125,2.49,6,1,2,2,Apartment,Entire home/apt,Dorchester,1
38,0.11,1,1,1,1,Apartment,Private room,Roxbury,91
70,0.76,2,1,1,1,Apartment,Private room,Allston,29
88,3.24,1,1,1,1,Other,Private room,Jamaica Plain,29
250,3.96,7,3,4,5,Other,Entire home/apt,Charlestown,31
179,3.53,2,1,0,1,Other,Entire home/apt,Fenway,91
210,0.03,2,1,1,1,Other,Private room,Charlestown,2
213,0.12,3,1,1,2,Other,Entire home/apt,Fenway,29
213,0.13,3,1,1,2,Other,Entire home/apt,Fenway,29
107,0.01,6,1,2,2,Apartment,Entire home/apt,Allston,91
85,1.89,4,1,2,2,House,Private room,Jamaica Plain,1
52,2.41,4,2.5,1,3,House,Private room,East Boston,91
85,0.88,2,1.5,1,2,House,Private room,Roslindale,2
200,5.04,5,1,2,2,Apartment,Entire home/apt,South End,28
195,4.12,3,1,1,1,Apartment,Entire home/apt,Back Bay,2
120,2.64,2,1,1,1,House,Private room,Jamaica Plain,2
298,0.27,5,2,2,3,Other,Entire home/apt,Fenway,91
289,1.08,2,1,1,0,Apartment,Entire home/apt,Downtown,9
85,0.39,2,2,1,1,House,Private room,Roslindale,91
229,0.77,2,1,1,1,Apartment,Entire home/apt,North End,9
265,7.92,7,1.5,3,3,House,Entire home/apt,South Boston,1
125,3.71,2,1,1,1,Apartment,Entire home/apt,Jamaica Plain,3
279,0.73,2,1,1,1,Apartment,Entire home/apt,Downtown,9
200,0.16,8,2.5,4,4,House,Entire home/apt,Jamaica Plain,2
239,0.01,3,1,1,2,Apartment,Entire home/apt,Downtown,29
225,0.24,2,1,1,1,Apartment,Entire home/apt,Back Bay,91
259,0.34,2,1,0,1,Apartment,Entire home/apt,North End,9
99,1.86,2,1,1,1,Other,Private room,Dorchester,2
75,0.97,2,1,1,2,House,Private room,Jamaica Plain,1
98,0.58,2,1,1,1,Apartment,Private room,Jamaica Plain,2
91,4.66,3,1,1,1,Other,Private room,Roxbury,2
200,2.42,2,1,1,1,Apartment,Entire home/apt,Downtown,10
175,1,4,1,0,0,Apartment,Entire home/apt,South End,28
90,0.06,2,1,0,1,Apartment,Entire home/apt,Brighton,91
280,0.14,4,2.5,2,2,Apartment,Entire home/apt,South End,91
100,0.02,2,1.5,1,1,House,Private room,East Boston,91
170,0.09,1,1,1,1,House,Private room,East Boston,100
300,2.08,7,1,2,3,Apartment,Entire home/apt,South End,33
175,1.28,4,1,1,2,Apartment,Entire home/apt,South End,31
259,0.65,3,1,1,1,Apartment,Entire home/apt,Back Bay,91
138,0.17,5,2,3,4,House,Entire home/apt,Brighton,91
92,3.45,1,1,1,1,Other,Private room,Roxbury,1
50,0.69,1,1.5,1,1,House,Private room,Roslindale,2
150,1.51,2,1,0,1,Apartment,Entire home/apt,Beacon Hill,1
150,1.29,2,1,0,1,Apartment,Entire home/apt,South End,1
150,1.64,2,1,0,1,Apartment,Entire home/apt,South End,1
289,0.02,5,2,2,3,Apartment,Entire home/apt,West End,91
209,0.02,3,1,1,2,Apartment,Entire home/apt,West End,29
150,1.99,2,1,0,1,Apartment,Entire home/apt,Back Bay,1
259,0.68,2,1,0,0,Apartment,Entire home/apt,Downtown,9
239,0.05,3,1,1,2,Apartment,Entire home/apt,Downtown,29
